logz logzerr logvol nlive logl logwt insert_order
-1.904243977142866934e+05 1.113410643451220494e+03 -2.825000000000001954e-01 4.000000000000000000e+02 -1.878988437500000000e+05 -1.879051189642866957e+05 nan
-1.879051189642866957e+05 1.753016140960831308e+03 -2.850000000000001976e-01 4.000000000000000000e+02 -1.874618906250000000e+05 -1.874681683392866980e+05 nan
-1.874681683392866980e+05 1.513010885401958831e+03 -2.875000000000001998e-01 4.000000000000000000e+02 -1.860342031250000000e+05 -1.860404833392867004e+05 nan
-1.860404833392867004e+05 1.850112670048045857e+03 -2.900000000000002021e-01 4.000000000000000000e+02 -1.830586093750000000e+05 -1.830648920892867027e+05 nan
-1.830648920892867027e+05 2.314499755508274120e+03 -2.925000000000002043e-01 4.000000000000000000e+02 -1.828013750000000000e+05 -1.828076602142867050e+05 nan
-1.828076602142867050e+05 2.349366646748801486e+03 -2.950000000000002065e-01 4.000000000000000000e+02 -1.818649218750000000e+05 -1.818712095892866782e+05 nan
-1.818712095892866782e+05 4.759624682426211848e+02 -2.975000000000002087e-01 4.000000000000000000e+02 -1.799852343750000000e+05 -1.799915245892866806e+05 nan
-1.799915245892866806e+05 1.207804702886534642e+03 -3.000000000000002109e-01 4.000000000000000000e+02 -1.797300312500000000e+05 -1.797363239642866829e+05 nan
-1.797363239642866829e+05 1.269102124364439760e+03 -3.025000000000002132e-01 4.000000000000000000e+02 -1.776449843750000000e+05 -1.776512795892866852e+05 nan
-1.776512795892866852e+05 1.311097759205997136e+03 -3.050000000000002154e-01 4.000000000000000000e+02 -1.759985468750000000e+05 -1.760048445892866876e+05 nan
-1.760048445892866876e+05 1.151436810393781343e+03 -3.075000000000002176e-01 4.000000000000000000e+02 -1.723455156250000000e+05 -1.723518158392866899e+05 nan
-1.723518158392866899e+05 1.860293251809267304e+03 -3.100000000000002198e-01 4.000000000000000000e+02 -1.718449375000000000e+05 -1.718512402142866922e+05 nan
-1.718512402142866922e+05 2.170752363040726891e+02 -3.125000000000002220e-01 4.000000000000000000e+02 -1.707264687500000000e+05 -1.707327739642866945e+05 nan
-1.707327739642866945e+05 4.844523589643041532e+02 -3.150000000000002243e-01 4.000000000000000000e+02 -1.705631875000000000e+05 -1.705694952142866969e+05 nan
-1.705694952142866969e+05 8.063627475995326677e+01 -3.175000000000002265e-01 4.000000000000000000e+02 -1.704661562500000000e+05 -1.704724664642866992e+05 nan
-1.704724664642866992e+05 9.605413159819839564e+01 -3.200000000000002287e-01 4.000000000000000000e+02 -1.694557500000000000e+05 -1.694620627142867015e+05 nan
-1.694620627142867015e+05 5.183254041211696403e+02 -3.225000000000002309e-01 4.000000000000000000e+02 -1.666236093750000000e+05 -1.666299245892867038e+05 nan
-1.666299245892867038e+05 1.741869352970077443e+03 -3.250000000000002331e-01 4.000000000000000000e+02 -1.664395625000000000e+05 -1.664458802142866771e+05 nan
-1.664458802142866771e+05 1.489040829708509591e+03 -3.275000000000002354e-01 4.000000000000000000e+02 -1.646156875000000000e+05 -1.646220077142866794e+05 nan
-1.646220077142866794e+05 1.973815862791150039e+03 -3.300000000000002376e-01 4.000000000000000000e+02 -1.634203125000000000e+05 -1.634266352142866817e+05 nan
