tau alpha beta logZsun
1.299919359339879499e+01 5.231868398789946895e+01 2.498973589948842999e+00 2.029524676398777316e-01
1.299609758624388789e+01 5.251049014612037524e+01 2.737997295789374341e+00 2.216885680386408985e-01
1.299761387644828403e+01 5.108516812389552086e+01 2.329764185636832519e+00 1.910801756257702877e-01
1.298207009547635948e+01 5.143296267928035093e+01 2.582895841027649464e+00 1.991677548864414504e-01
1.299955000543173078e+01 5.162994282891665421e+01 2.423716194056165119e+00 1.952344408595898528e-01
1.298469539142602613e+01 5.073437383887586094e+01 2.455628062112000354e+00 1.913998749553491585e-01
1.298972204789460072e+01 5.168491340817875113e+01 2.599355691990312245e+00 2.101139574215800110e-01
1.299978454086611457e+01 5.103357914374342386e+01 2.282552093376218671e+00 1.879993571651858986e-01
1.299479605220759915e+01 5.188925787670972767e+01 2.612446739761536740e+00 2.157213459754094842e-01
1.299913652980627532e+01 5.035424861849530487e+01 2.310613522022577637e+00 2.026610123498784333e-01
1.299671452491390156e+01 5.263908393834056909e+01 2.680059795128351130e+00 2.146244400710255462e-01
1.299919320649699905e+01 5.133957164670696471e+01 2.346351264578496298e+00 1.947601355037225090e-01
1.298743169309095613e+01 5.049000032048704156e+01 2.319927090382698953e+00 1.835453004789391329e-01
1.299759933368389220e+01 5.034073070770030256e+01 2.206470056015367387e+00 1.869142593684021136e-01
1.299909390656927322e+01 5.114826779953992997e+01 2.233226500065715658e+00 1.775540498312517812e-01
1.299100396999675411e+01 5.082833976311033553e+01 2.440486699371907875e+00 1.994343972463186176e-01
1.299667608696040233e+01 5.160714942583103237e+01 2.413792751159016703e+00 1.931917102867486413e-01
1.299757519556939478e+01 5.030478239109050520e+01 2.270054614702118556e+00 1.921333373497802199e-01
1.299575257634331926e+01 5.193914996590696376e+01 2.537906452389063539e+00 2.054497080642994078e-01
1.299621654801582871e+01 5.234971306679921810e+01 2.719960914516829309e+00 2.233942772958630307e-01
1.299926430926396215e+01 5.126039478407997052e+01 2.399173591298460639e+00 1.983354906032257503e-01
1.299883181342809024e+01 5.196551333557716390e+01 2.300015361995689567e+00 1.746243113149406057e-01
1.299813618668510529e+01 5.166254531915690507e+01 2.493264196852998715e+00 2.105521522299644843e-01
1.299879262948725334e+01 5.309330228175553401e+01 2.715146141318213413e+00 2.171747183928731673e-01
1.299901371855601617e+01 5.294069119153650149e+01 2.779548219874629300e+00 2.277393647454530878e-01
1.299924972413498026e+01 5.085446954480247683e+01 2.177795014505303328e+00 1.762490508763194796e-01
1.299727769534948862e+01 5.050955838416304289e+01 2.252117661916057223e+00 1.901395731761912344e-01
1.299826844072738474e+01 5.248223930714474506e+01 2.459150875802277980e+00 1.913149231111130888e-01
1.299957671445255691e+01 4.989536231252414211e+01 1.992077148541295140e+00 1.637651594768043672e-01
1.299286916258807167e+01 5.139502201081561594e+01 2.433136351812024145e+00 1.937130623947611596e-01
1.299981426855014632e+01 5.244509554930337458e+01 2.546212791705318335e+00 2.023710954725328470e-01
1.299785159292285464e+01 5.177262908326027002e+01 2.475835387580107572e+00 2.008150329673821233e-01
1.299778440958937509e+01 5.167027519761744969e+01 2.555973713844854611e+00 2.118609980746692933e-01
1.299855257364135852e+01 5.225055274353455559e+01 2.401964335850343524e+00 1.846717545167542163e-01
1.299537824001590458e+01 5.017818499584223702e+01 2.220023717341312874e+00 1.844012782349171431e-01
1.299987581848778539e+01 5.187095259168945915e+01 2.401360636400555304e+00 1.945938589280453712e-01
1.299594682356949527e+01 5.159974499135115877e+01 2.499516132955109882e+00 2.055314680673721028e-01
1.299907896300003962e+01 5.126367785277948030e+01 2.372604770204208791e+00 1.947745449066440315e-01
1.299705024954992361e+01 5.087860232293299845e+01 2.321709492442913803e+00 1.910827928464762238e-01
1.299924059934397036e+01 5.282576718697210083e+01 2.708207202475305664e+00 2.206815663530212746e-01
1.299889191132522193e+01 5.227574038235098897e+01 2.465432870914329389e+00 1.949019560433971066e-01
1.299495808063937474e+01 5.209400514384737590e+01 2.644876462462265376e+00 2.155068578825076742e-01
