tau alpha beta logZsun
1.299844775761371096e+01 5.153320107196602606e+01 2.321337025961553557e+00 1.868577899021670596e-01
1.299325527966761840e+01 5.147143893151063310e+01 2.516986337568659859e+00 2.035061248461662586e-01
1.299100923513051598e+01 5.056999024346104932e+01 2.370175256976064126e+00 1.940594161056345968e-01
1.299542453127221719e+01 5.127352566958047930e+01 2.284911657047747902e+00 1.814731963007680804e-01
1.299746070430769862e+01 5.221061255761514985e+01 2.527663139838959072e+00 1.995443842315136607e-01
1.299148700763507236e+01 5.139155438611220461e+01 2.503978445479304149e+00 1.998975525940709375e-01
1.299828183748171639e+01 5.209740535214272938e+01 2.580992918124966451e+00 2.082143961349003369e-01
1.299791038239833263e+01 5.098501450275239222e+01 2.394113063551708276e+00 2.023849849116126087e-01
1.299982383657182261e+01 5.165298143722678503e+01 2.381670100089730013e+00 1.949036813882063512e-01
1.299982383657182261e+01 5.165298143722678503e+01 2.381670100089730013e+00 1.949036813882063512e-01
1.299788340987791457e+01 5.158715852212321806e+01 2.542336285954810648e+00 2.167441185440224238e-01
1.299738399145708101e+01 5.259548084330960194e+01 2.627477601430412868e+00 2.088681739281370575e-01
1.298414930117903410e+01 4.966947158016660779e+01 2.289388820533890812e+00 1.896172681590093667e-01
1.299640754866058856e+01 5.167383253082240202e+01 2.433664433034800290e+00 1.973521538734708258e-01
1.299814461800635179e+01 5.068731580788347912e+01 2.274802210740111352e+00 1.882264197819116802e-01
1.299851601181608096e+01 5.113488060405095581e+01 2.386450729554029149e+00 1.999313016272057375e-01
