11:00:08 [ultranest] [DEBUG] ReactiveNestedSampler: dims=4+0, resume=False, log_dir=/home/chengz/Code/opencode/bigs_v2/out_manga_demo/chains_dpl, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
11:00:08 [ultranest] [INFO] Sampling 400 live points from prior ...
11:00:08 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.50, Lepsilon=0.0010, min_ess=400
11:00:08 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:00:08 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
11:00:19 [ultranest] [DEBUG] iteration=1338, ncalls=5220, regioncalls=11392, ndraw=128, logz=-6181.39, remainder_fraction=100.0000%, Lmin=-6159.68, Lmax=-4507.40
11:00:19 [ultranest] [DEBUG] iteration=1360, ncalls=5421, regioncalls=12032, ndraw=128, logz=-6077.12, remainder_fraction=100.0000%, Lmin=-6067.32, Lmax=-4507.40
11:00:19 [ultranest] [DEBUG] iteration=1374, ncalls=5563, regioncalls=12544, ndraw=128, logz=-5992.96, remainder_fraction=100.0000%, Lmin=-5975.51, Lmax=-4507.40
11:00:19 [ultranest] [DEBUG] iteration=1389, ncalls=5723, regioncalls=13056, ndraw=128, logz=-5935.72, remainder_fraction=100.0000%, Lmin=-5925.78, Lmax=-4507.40
11:00:19 [ultranest] [DEBUG] iteration=1400, ncalls=5802, regioncalls=13312, ndraw=128, logz=-5901.28, remainder_fraction=100.0000%, Lmin=-5890.72, Lmax=-4507.40
11:00:19 [ultranest] [DEBUG] iteration=1429, ncalls=6161, regioncalls=14464, ndraw=128, logz=-5806.23, remainder_fraction=100.0000%, Lmin=-5796.53, Lmax=-4507.40
11:00:19 [ultranest] [DEBUG] iteration=1440, ncalls=6245, regioncalls=14720, ndraw=128, logz=-5787.08, remainder_fraction=100.0000%, Lmin=-5765.19, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1447, ncalls=6313, regioncalls=14976, ndraw=128, logz=-5756.38, remainder_fraction=100.0000%, Lmin=-5736.06, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1460, ncalls=6423, regioncalls=15360, ndraw=128, logz=-5713.58, remainder_fraction=100.0000%, Lmin=-5701.23, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1480, ncalls=6658, regioncalls=16128, ndraw=128, logz=-5648.02, remainder_fraction=100.0000%, Lmin=-5637.98, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1508, ncalls=6996, regioncalls=17280, ndraw=128, logz=-5580.31, remainder_fraction=100.0000%, Lmin=-5570.85, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1520, ncalls=7140, regioncalls=17792, ndraw=128, logz=-5561.49, remainder_fraction=100.0000%, Lmin=-5551.44, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1541, ncalls=7485, regioncalls=18944, ndraw=128, logz=-5525.15, remainder_fraction=100.0000%, Lmin=-5514.84, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1560, ncalls=7860, regioncalls=20096, ndraw=128, logz=-5494.79, remainder_fraction=100.0000%, Lmin=-5484.86, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1578, ncalls=8249, regioncalls=21376, ndraw=128, logz=-5465.56, remainder_fraction=100.0000%, Lmin=-5454.23, Lmax=-4507.40
11:00:20 [ultranest] [DEBUG] iteration=1600, ncalls=8616, regioncalls=22528, ndraw=128, logz=-5437.48, remainder_fraction=100.0000%, Lmin=-5427.58, Lmax=-4507.40
11:00:21 [ultranest] [DEBUG] iteration=1607, ncalls=8686, regioncalls=22784, ndraw=128, logz=-5429.74, remainder_fraction=100.0000%, Lmin=-5416.29, Lmax=-4507.40
11:00:21 [ultranest] [DEBUG] iteration=1628, ncalls=9044, regioncalls=23936, ndraw=128, logz=-5397.96, remainder_fraction=100.0000%, Lmin=-5387.98, Lmax=-4507.40
11:00:21 [ultranest] [DEBUG] iteration=1640, ncalls=9263, regioncalls=24704, ndraw=128, logz=-5383.31, remainder_fraction=100.0000%, Lmin=-5371.81, Lmax=-4507.40
11:00:21 [ultranest] [DEBUG] iteration=1654, ncalls=9666, regioncalls=25984, ndraw=128, logz=-5366.11, remainder_fraction=100.0000%, Lmin=-5355.96, Lmax=-4507.40
11:00:21 [ultranest] [DEBUG] iteration=1657, ncalls=9690, regioncalls=26112, ndraw=128, logz=-5362.81, remainder_fraction=100.0000%, Lmin=-5351.35, Lmax=-4507.40
11:00:21 [ultranest] [DEBUG] iteration=1675, ncalls=10101, regioncalls=27520, ndraw=128, logz=-5348.18, remainder_fraction=100.0000%, Lmin=-5336.01, Lmax=-4507.40
11:00:21 [ultranest] [DEBUG] iteration=1680, ncalls=10228, regioncalls=27904, ndraw=128, logz=-5339.33, remainder_fraction=100.0000%, Lmin=-5329.05, Lmax=-4507.40
11:00:22 [ultranest] [DEBUG] iteration=1691, ncalls=10635, regioncalls=29184, ndraw=128, logz=-5331.46, remainder_fraction=100.0000%, Lmin=-5322.27, Lmax=-4507.40
11:00:22 [ultranest] [DEBUG] iteration=1708, ncalls=10999, regioncalls=30464, ndraw=128, logz=-5321.05, remainder_fraction=100.0000%, Lmin=-5310.86, Lmax=-4507.40
11:00:22 [ultranest] [DEBUG] iteration=1720, ncalls=11286, regioncalls=31360, ndraw=128, logz=-5314.25, remainder_fraction=100.0000%, Lmin=-5305.02, Lmax=-4507.40
11:00:22 [ultranest] [DEBUG] iteration=1733, ncalls=11733, regioncalls=32640, ndraw=128, logz=-5308.54, remainder_fraction=100.0000%, Lmin=-5298.80, Lmax=-4507.40
11:00:22 [ultranest] [DEBUG] iteration=1749, ncalls=12248, regioncalls=34176, ndraw=128, logz=-5297.49, remainder_fraction=100.0000%, Lmin=-5288.17, Lmax=-4507.40
11:00:22 [ultranest] [DEBUG] iteration=1760, ncalls=12486, regioncalls=34944, ndraw=128, logz=-5293.35, remainder_fraction=100.0000%, Lmin=-5283.46, Lmax=-4507.40
11:00:22 [ultranest] [DEBUG] iteration=1776, ncalls=12982, regioncalls=36352, ndraw=128, logz=-5286.10, remainder_fraction=100.0000%, Lmin=-5276.17, Lmax=-4507.40
11:00:22 [ultranest] [DEBUG] iteration=1793, ncalls=13496, regioncalls=37888, ndraw=128, logz=-5280.42, remainder_fraction=100.0000%, Lmin=-5270.65, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1796, ncalls=13536, regioncalls=38016, ndraw=128, logz=-5279.23, remainder_fraction=100.0000%, Lmin=-5269.81, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1800, ncalls=13611, regioncalls=38272, ndraw=128, logz=-5278.20, remainder_fraction=100.0000%, Lmin=-5268.75, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1820, ncalls=13999, regioncalls=39552, ndraw=128, logz=-5272.12, remainder_fraction=100.0000%, Lmin=-5263.42, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1834, ncalls=14412, regioncalls=40832, ndraw=128, logz=-5269.51, remainder_fraction=100.0000%, Lmin=-5260.02, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1840, ncalls=14644, regioncalls=41600, ndraw=128, logz=-5267.61, remainder_fraction=100.0000%, Lmin=-5258.26, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] Plateau detected at L=-5.254332e+03, not replacing live point.
11:00:23 [ultranest] [DEBUG] iteration=1854, ncalls=15013, regioncalls=42752, ndraw=128, logz=-5263.79, remainder_fraction=100.0000%, Lmin=-5254.33, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1867, ncalls=15385, regioncalls=44032, ndraw=128, logz=-5260.90, remainder_fraction=100.0000%, Lmin=-5251.89, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1876, ncalls=15716, regioncalls=45312, ndraw=128, logz=-5259.22, remainder_fraction=100.0000%, Lmin=-5250.58, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1880, ncalls=15786, regioncalls=45568, ndraw=128, logz=-5258.76, remainder_fraction=100.0000%, Lmin=-5250.34, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] iteration=1901, ncalls=16131, regioncalls=46848, ndraw=128, logz=-5253.57, remainder_fraction=100.0000%, Lmin=-5244.50, Lmax=-4507.40
11:00:23 [ultranest] [DEBUG] Plateau detected at L=-5.242982e+03, not replacing live point.
11:00:23 [ultranest] [DEBUG] iteration=1907, ncalls=16339, regioncalls=47616, ndraw=128, logz=-5252.16, remainder_fraction=100.0000%, Lmin=-5242.98, Lmax=-4507.40
11:00:24 [ultranest] [DEBUG] iteration=1911, ncalls=16460, regioncalls=48128, ndraw=128, logz=-5251.37, remainder_fraction=100.0000%, Lmin=-5242.11, Lmax=-4507.40
11:00:24 [ultranest] [DEBUG] iteration=1915, ncalls=16713, regioncalls=49152, ndraw=128, logz=-5249.88, remainder_fraction=100.0000%, Lmin=-5239.96, Lmax=-4507.40
11:00:24 [ultranest] [DEBUG] iteration=1920, ncalls=16768, regioncalls=49408, ndraw=128, logz=-5248.24, remainder_fraction=100.0000%, Lmin=-5238.05, Lmax=-4507.40
11:00:24 [ultranest] [DEBUG] iteration=1935, ncalls=17158, regioncalls=50944, ndraw=128, logz=-5243.35, remainder_fraction=100.0000%, Lmin=-5233.28, Lmax=-4507.40
11:00:24 [ultranest] [DEBUG] iteration=1945, ncalls=17468, regioncalls=52352, ndraw=128, logz=-5239.21, remainder_fraction=100.0000%, Lmin=-5229.84, Lmax=-4507.40
11:00:25 [ultranest] [DEBUG] iteration=1954, ncalls=17789, regioncalls=53760, ndraw=128, logz=-5234.35, remainder_fraction=100.0000%, Lmin=-5223.39, Lmax=-4507.40
11:00:25 [ultranest] [DEBUG] iteration=1960, ncalls=17961, regioncalls=54400, ndraw=128, logz=-5230.81, remainder_fraction=100.0000%, Lmin=-5220.39, Lmax=-4507.40
11:00:25 [ultranest] [DEBUG] iteration=1971, ncalls=18300, regioncalls=55808, ndraw=128, logz=-5226.36, remainder_fraction=100.0000%, Lmin=-5216.57, Lmax=-4507.40
11:00:25 [ultranest] [DEBUG] iteration=1972, ncalls=18378, regioncalls=56192, ndraw=128, logz=-5226.08, remainder_fraction=100.0000%, Lmin=-5216.52, Lmax=-4507.40
11:00:25 [ultranest] [DEBUG] iteration=1985, ncalls=18698, regioncalls=57472, ndraw=128, logz=-5221.60, remainder_fraction=100.0000%, Lmin=-5211.51, Lmax=-4507.40
11:00:25 [ultranest] [DEBUG] iteration=1996, ncalls=18963, regioncalls=58624, ndraw=128, logz=-5215.92, remainder_fraction=100.0000%, Lmin=-5205.47, Lmax=-4507.40
