weight logl t0 tau logZsun
0.000000000000000000e+00 -8.303358125000000000e+05 1.264033507966584402e+01 3.404192785285474199e-01 -1.449223819406956437e+00
0.000000000000000000e+00 -8.302530000000000000e+05 1.046046820698480850e+01 9.338587539107226831e+00 -1.603610799822923427e+00
0.000000000000000000e+00 -8.238414375000000000e+05 9.957396670950267037e+00 4.203953839582199592e+00 -2.077591536311663489e+00
0.000000000000000000e+00 -8.217288125000000000e+05 1.160129312738409446e+01 4.928647831969676041e+00 3.302423860397531996e-01
0.000000000000000000e+00 -8.170957500000000000e+05 9.416603318850610194e+00 9.578511061418467420e+00 -2.004009841562362837e+00
0.000000000000000000e+00 -8.141198750000000000e+05 1.126660689315361630e+01 1.021356149866517571e+00 -2.267205593896327809e+00
0.000000000000000000e+00 -8.089315000000000000e+05 1.268092719737659024e+01 3.171389437178276927e-01 -1.392140934694575449e+00
0.000000000000000000e+00 -8.010660625000000000e+05 1.165854176130193309e+01 1.819112536560041793e+00 -1.313605465121459925e+00
0.000000000000000000e+00 -8.001932500000000000e+05 1.189520961366329743e+01 5.776237561187615555e+00 -5.455758617061108318e-01
0.000000000000000000e+00 -7.926718750000000000e+05 1.193902683203032034e+01 4.104424547320193462e+00 -5.499455153354917414e-01
0.000000000000000000e+00 -7.862427500000000000e+05 1.099516178701748359e+01 5.187925600023839401e+00 -1.332752303941529881e+00
0.000000000000000000e+00 -7.721683750000000000e+05 8.547156744561251074e+00 8.075360385201495461e+00 -2.193373746651420042e+00
0.000000000000000000e+00 -7.696434375000000000e+05 1.123582629062173588e+01 2.164823655821785042e+00 -1.461483232432635893e+00
0.000000000000000000e+00 -7.623596250000000000e+05 1.286171294542655197e+01 1.129571258911463150e-01 -2.007687288554575566e+00
0.000000000000000000e+00 -7.552686875000000000e+05 1.148203209548065651e+01 9.733067525462480774e+00 -3.181533793027648827e-01
0.000000000000000000e+00 -7.499406250000000000e+05 1.239699059910696022e+01 8.338040467797800392e-01 -5.343796387902046696e-01
0.000000000000000000e+00 -7.415340000000000000e+05 1.107734337187810070e+01 8.449474856467965367e+00 3.289885099476221875e-01
0.000000000000000000e+00 -7.412706250000000000e+05 1.125977749713982945e+01 8.568925279763436320e-01 -2.393779890680511890e+00
0.000000000000000000e+00 -7.384693750000000000e+05 8.450244955240719946e+00 5.103375752287047540e+00 -2.408848337664169392e+00
0.000000000000000000e+00 -7.369056250000000000e+05 1.134437794580008863e+01 3.569287098483566290e+00 4.660107870894343307e-01
0.000000000000000000e+00 -7.366855000000000000e+05 1.150017487075045963e+01 6.485917199215634810e+00 -2.088405109488231659e-01
0.000000000000000000e+00 -7.363096250000000000e+05 8.638823459254629356e+00 5.517490294791453920e+00 -2.190300309283657487e+00
0.000000000000000000e+00 -7.329266875000000000e+05 1.238613745561654866e+01 3.057932071433147603e-01 -1.986235633873207451e+00
0.000000000000000000e+00 -7.272273750000000000e+05 1.024176078892391573e+01 3.341829974787001056e+00 -1.699334552329239578e+00
0.000000000000000000e+00 -7.269379375000000000e+05 1.103589415859648248e+01 5.046347256474124521e+00 -1.129832164635113489e+00
0.000000000000000000e+00 -7.193636875000000000e+05 9.790886794229802348e+00 4.310548377491219441e+00 -1.771450360216483277e+00
0.000000000000000000e+00 -7.130194375000000000e+05 1.138381957886102391e+01 6.437850675949351675e+00 -4.513012846927613175e-01
0.000000000000000000e+00 -7.114692500000000000e+05 8.794830093771127011e+00 4.004730603859458782e+00 -2.226547508227710637e+00
0.000000000000000000e+00 -7.114023125000000000e+05 9.789872325026408362e+00 6.168730694049809671e+00 -1.596478867481284425e+00
0.000000000000000000e+00 -7.053244375000000000e+05 9.611140419724462092e+00 5.920523641360824207e+00 -1.659601685458993670e+00
0.000000000000000000e+00 -7.015093125000000000e+05 9.968600220985802451e+00 3.170374430793833298e+00 -1.799323428252006973e+00
0.000000000000000000e+00 -6.972475625000000000e+05 1.192406846876036930e+01 1.725650698875186739e+00 -7.659549756670771536e-01
0.000000000000000000e+00 -6.952751250000000000e+05 1.030298515312370533e+01 9.524018203698922491e+00 -1.240953350102898201e+00
0.000000000000000000e+00 -6.841092500000000000e+05 1.032660440080190689e+01 2.410376279161554169e+00 -1.728201177890473339e+00
0.000000000000000000e+00 -6.835417500000000000e+05 1.140510476151392005e+01 2.197132368875597486e+00 -1.047577675604785874e+00
0.000000000000000000e+00 -6.793524375000000000e+05 9.690730176767301529e+00 5.553711103951648020e+00 -1.562999867255590480e+00
