logz logzerr logvol nlive logl logwt insert_order
-1.164763350255237427e+06 7.118107529160201921e+03 -6.800000000000004652e-02 1.000000000000000000e+03 -1.152530500000000000e+06 -1.152537476255237358e+06 1.068000000000000060e+00
-1.152537476255237358e+06 4.556416818695860457e+03 -6.900000000000004741e-02 1.000000000000000000e+03 -1.148222625000000000e+06 -1.148229602255237289e+06 3.800000000000000044e-01
-1.148229602255237289e+06 5.350487814128704485e+03 -7.000000000000004829e-02 1.000000000000000000e+03 -1.128382875000000000e+06 -1.128389853255237220e+06 1.493999999999999995e+00
-1.128389853255237220e+06 1.298027754459348398e+04 -7.100000000000004918e-02 1.000000000000000000e+03 -1.121426500000000000e+06 -1.121433479255237384e+06 1.971999999999999975e+00
-1.121433479255237384e+06 1.136078721161445537e+04 -7.200000000000005007e-02 1.000000000000000000e+03 -1.121342375000000000e+06 -1.121349355255237315e+06 1.880000000000000004e-01
-1.121349355255237315e+06 8.654793979819880406e+03 -7.300000000000005096e-02 1.000000000000000000e+03 -1.118723375000000000e+06 -1.118730356255237246e+06 1.211999999999999966e+00
-1.118730356255237246e+06 1.134208341042951133e+03 -7.400000000000005185e-02 1.000000000000000000e+03 -1.107657875000000000e+06 -1.107664857255237410e+06 2.320000000000000118e-01
-1.107664857255237410e+06 4.791584902733105992e+03 -7.500000000000005274e-02 1.000000000000000000e+03 -1.106613375000000000e+06 -1.106620358255237341e+06 1.518000000000000016e+00
-1.106620358255237341e+06 4.515968346626783045e+02 -7.600000000000005362e-02 1.000000000000000000e+03 -1.101074500000000000e+06 -1.101081484255237272e+06 5.220000000000000195e-01
-1.101081484255237272e+06 2.955597399193862657e+03 -7.700000000000005451e-02 1.000000000000000000e+03 -1.094946375000000000e+06 -1.094953360255237203e+06 1.600000000000000033e-02
-1.094953360255237203e+06 4.686287458305552718e+03 -7.800000000000005540e-02 1.000000000000000000e+03 -1.088075375000000000e+06 -1.088082361255237367e+06 1.145999999999999908e+00
-1.088082361255237367e+06 6.783825591697777782e+03 -7.900000000000005629e-02 1.000000000000000000e+03 -1.084880125000000000e+06 -1.084887112255237298e+06 9.619999999999999662e-01
-1.084887112255237298e+06 6.295492143570512781e+03 -8.000000000000005718e-02 1.000000000000000000e+03 -1.084243500000000000e+06 -1.084250488255237229e+06 1.286000000000000032e+00
-1.084250488255237229e+06 4.596921944357987741e+03 -8.100000000000005806e-02 1.000000000000000000e+03 -1.069540250000000000e+06 -1.069547239255237393e+06 1.874000000000000110e+00
-1.069547239255237393e+06 4.063520848927086263e+03 -8.200000000000005895e-02 1.000000000000000000e+03 -1.055786000000000000e+06 -1.055792990255237324e+06 7.860000000000000320e-01
-1.055792990255237324e+06 8.418619750712345194e+03 -8.300000000000005984e-02 1.000000000000000000e+03 -1.047985500000000000e+06 -1.047992491255237372e+06 4.079999999999999738e-01
-1.047992491255237372e+06 3.677042889518012089e+03 -8.400000000000006073e-02 1.000000000000000000e+03 -1.047753750000000000e+06 -1.047760742255237303e+06 2.979999999999999871e-01
-1.047760742255237303e+06 2.210058222348870913e+03 -8.500000000000006162e-02 1.000000000000000000e+03 -1.045064250000000000e+06 -1.045071243255237350e+06 7.760000000000000231e-01
-1.045071243255237350e+06 2.865065833725838729e+03 -8.600000000000006251e-02 1.000000000000000000e+03 -1.043496125000000000e+06 -1.043503119255237281e+06 1.828000000000000069e+00
-1.043503119255237281e+06 1.576852270501981366e+03 -8.700000000000006339e-02 1.000000000000000000e+03 -1.038999750000000000e+06 -1.039006745255237329e+06 5.620000000000000551e-01
-1.039006745255237329e+06 1.946557528896921212e+03 -8.800000000000006428e-02 1.000000000000000000e+03 -1.029480250000000000e+06 -1.029487246255237260e+06 7.000000000000000666e-02
-1.029487246255237260e+06 4.887497607438905106e+03 -8.900000000000006517e-02 1.000000000000000000e+03 -1.014072562500000000e+06 -1.014079559755237307e+06 1.340000000000000080e-01
-1.014079559755237307e+06 8.716763627757651193e+03 -9.000000000000006606e-02 1.000000000000000000e+03 -1.000989000000000000e+06 -1.000995998255237355e+06 8.800000000000000044e-01
-1.000995998255237355e+06 8.907001466814086598e+03 -9.100000000000006695e-02 1.000000000000000000e+03 -9.986024375000000000e+05 -9.986094367552372860e+05 5.659999999999999476e-01
-9.986094367552372860e+05 1.033708039516973713e+03 -9.200000000000006783e-02 1.000000000000000000e+03 -9.747475000000000000e+05 -9.747545002552373335e+05 1.191999999999999948e+00
-9.747545002552373335e+05 1.176118070702708610e+04 -9.300000000000006872e-02 1.000000000000000000e+03 -9.723370625000000000e+05 -9.723440637552372646e+05 9.300000000000000488e-01
