t0 tau logZsun
1.089259682221487679e+01 4.381967268353300082e-01 1.978024941312384044e-01
1.066470940219871721e+01 4.760480046608947524e-01 1.451329169326425195e-01
1.099567100378176576e+01 4.204733375656050098e-01 2.341616054613848696e-01
1.090442019692350684e+01 4.352409809555210507e-01 1.935313056827476785e-01
1.092481829371724800e+01 4.279439311845739113e-01 1.780406710668502868e-01
1.062498089159208270e+01 4.829194859518413652e-01 1.381727975734285963e-01
1.093641527820529014e+01 4.300798631492799284e-01 2.045202369666752062e-01
1.092042170405963830e+01 4.322466560469659935e-01 1.971489625976650117e-01
1.092432715267705667e+01 4.319210861180836636e-01 1.922903346996456264e-01
1.064585402776547696e+01 4.798739395619419090e-01 1.425073295406247276e-01
1.083241124845525150e+01 4.481272618115069717e-01 1.852698745921341761e-01
1.090728354319340099e+01 4.357575099381210681e-01 2.028842089471476484e-01
1.067511013680226739e+01 4.772506176434058167e-01 1.603265921266339156e-01
1.062168047832859585e+01 4.839327947612660497e-01 1.378089087344784858e-01
1.089371290149931326e+01 4.387067206460078528e-01 1.952942495972487258e-01
1.093641292298447354e+01 4.277946163828784676e-01 1.904645821815496021e-01
1.093959760515181401e+01 4.270210951168975644e-01 1.900891081264819427e-01
1.060934395214383485e+01 4.887172562353929717e-01 1.533092085817080452e-01
1.092469470725077763e+01 4.301419752495221349e-01 1.868250425004185367e-01
1.089972278847359455e+01 4.339060679281400157e-01 1.788609932558031801e-01
1.059716361363003401e+01 4.876659073506701136e-01 1.262977570497207935e-01
1.064751895535489368e+01 4.777758964955214904e-01 1.344900697792188460e-01
1.064551290712326548e+01 4.789667781982284711e-01 1.433484298409237745e-01
1.094205870481488674e+01 4.273145885482900197e-01 1.944454864176545783e-01
1.065069910189624736e+01 4.778052113298595360e-01 1.384830223413469064e-01
1.090949774126423577e+01 4.342071935407099681e-01 1.919074788435026768e-01
1.093160520897025023e+01 4.323129898960419437e-01 2.120967932576602877e-01
1.064618696497381478e+01 4.764400906971020255e-01 1.314147425950151771e-01
1.092150870531948748e+01 4.311849948333803528e-01 1.901760923293225325e-01
1.086729590363754916e+01 4.412999986525495966e-01 1.890378015335425488e-01
1.088107592071669494e+01 4.391539776657719107e-01 1.838089722930358327e-01
1.093053595037430625e+01 4.325185455701935910e-01 2.067510338779428025e-01
1.088973271632652917e+01 4.378760223553227471e-01 1.919886734611817580e-01
1.070855485699887844e+01 4.690475019288176117e-01 1.659078661573274438e-01
1.066839452377053910e+01 4.766985702652450363e-01 1.560551590419199108e-01
1.093521110536245722e+01 4.281893518813144617e-01 1.909768420063842065e-01
1.059599686303459976e+01 4.856632088799329727e-01 1.161572123316712002e-01
1.065313137448449687e+01 4.759497724538666041e-01 1.328527282311688928e-01
1.060922114494742452e+01 4.852396282259594518e-01 1.309480844610391159e-01
1.067968754177408819e+01 4.761117820358656272e-01 1.628271887653260919e-01
1.083140881482413853e+01 4.457527711499061907e-01 1.777673444793990143e-01
1.091801594531001207e+01 4.327159257023167060e-01 1.975776264784068204e-01
1.057733702899143857e+01 4.921160002365155273e-01 1.327241700183079409e-01
1.062363061982050638e+01 4.825927024959107414e-01 1.330999213170875883e-01
1.095521495524080002e+01 4.276385623447217510e-01 2.147104193887066081e-01
1.088103344735216815e+01 4.374784104191218881e-01 1.780394392744222287e-01
1.094270125226949908e+01 4.291692542001575017e-01 2.088783916479748370e-01
1.093271764323410267e+01 4.292259394544035156e-01 1.967253400274695530e-01
1.094245022852192761e+01 4.304668716653666793e-01 2.090910553685536577e-01
1.069769997796603533e+01 4.679454670364395774e-01 1.494467297009083318e-01
1.059084086441251671e+01 4.903910665553458115e-01 1.371434052919275892e-01
1.068105215033801692e+01 4.707491143880883633e-01 1.369225538341414250e-01
1.081116142555479520e+01 4.508746093143667921e-01 1.815890472102226205e-01
1.063393525627796521e+01 4.807126964815678360e-01 1.397002073244681952e-01
1.094270125226949908e+01 4.291692542001575017e-01 2.088783916479748370e-01
1.089673997098415903e+01 4.371640835409322245e-01 1.945478011781629490e-01
1.066742912472613192e+01 4.759475922542560911e-01 1.475650749824533037e-01
1.067507065721131632e+01 4.704430856733241018e-01 1.290320553062485054e-01
1.061587633727676661e+01 4.848920286154893566e-01 1.369676744244237021e-01
1.096445116126649388e+01 4.252183132621051298e-01 2.116438343147870604e-01
1.064340767891969719e+01 4.817345392741004817e-01 1.476976047622775567e-01
1.085529156733210421e+01 4.433158670000137969e-01 1.840657739109108348e-01
1.089641817190245021e+01 4.356791791765504684e-01 1.874531706436064482e-01
1.065224065680150822e+01 4.788249540108489022e-01 1.493860892939000706e-01
1.087836300693592051e+01 4.367518838717303065e-01 1.718004535628003815e-01
1.095678184694737745e+01 4.228368886973998264e-01 1.901286532766652826e-01
1.092042170405963830e+01 4.322466560469659935e-01 1.971489625976650117e-01
1.096502100822720216e+01 4.240666691550347700e-01 2.081738107695549900e-01
1.096505953609068129e+01 4.231911805666011550e-01 2.024725307217560832e-01
1.060689816784125306e+01 4.857251598658256508e-01 1.297589594521446621e-01
1.093361698954475969e+01 4.279802713926743607e-01 1.894678354218441996e-01
1.091487122867513015e+01 4.340420617401046788e-01 2.012524588691597671e-01
1.087270941084964448e+01 4.400387430378263631e-01 1.866273920545431508e-01
1.091660165526888626e+01 4.336059129731758000e-01 1.999211688486206562e-01
