t0 tau logZsun
1.094668270531111531e+01 4.250238634334263521e-01 1.926104798396242046e-01
1.097236310945865689e+01 4.231360141181758627e-01 2.127132296663427624e-01
1.069196530162462899e+01 4.718637555849426457e-01 1.596436982435740504e-01
1.094166321989511736e+01 4.262126942340075941e-01 1.924137102119014564e-01
1.061704133684269102e+01 4.833892400662460065e-01 1.248236170756928942e-01
1.052168444007239678e+01 4.986136679008251194e-01 1.169204854590706333e-01
1.091801594531001207e+01 4.327159257023167060e-01 1.975776264784068204e-01
1.090082929358992914e+01 4.391204660900660528e-01 2.071966445598829587e-01
1.065055126311846045e+01 4.779500668937413099e-01 1.423559560981502159e-01
1.069319028228362178e+01 4.671786192836601681e-01 1.345123039571443080e-01
1.090402381184220459e+01 4.356587693753176671e-01 1.951349600551086638e-01
1.060158956255820506e+01 4.871465961239533349e-01 1.305347103956666643e-01
1.060196840210548963e+01 4.867574638589264868e-01 1.267464197902166134e-01
1.090312346305044677e+01 4.385334045191646712e-01 2.068377419991214161e-01
1.070192549820603034e+01 4.697968569174101883e-01 1.598275106083479891e-01
1.094948545418682784e+01 4.284860856293788989e-01 2.091618083123512051e-01
1.055820104465707310e+01 4.935518359789487497e-01 1.191645126259035514e-01
1.063476038909014498e+01 4.819998235507865769e-01 1.386950519119301006e-01
1.084710939178983047e+01 4.436046220367111381e-01 1.804605179336786769e-01
1.049333041944578682e+01 5.027359080991149476e-01 1.079475754616430194e-01
1.091919301240403506e+01 4.312569454062474272e-01 1.883987164836775641e-01
1.059394602001605534e+01 4.869487115494047780e-01 1.231500259399305186e-01
1.096288760974981003e+01 4.200756836512021808e-01 1.836545324669724977e-01
1.062183381926408998e+01 4.821507601800760767e-01 1.277033989284168669e-01
1.094654261200241585e+01 4.279992780924125051e-01 2.069498343840163734e-01
1.093842475722994401e+01 4.285639473486504980e-01 1.980284077125791242e-01
1.091558723842999790e+01 4.325539320729639425e-01 1.899560143632808007e-01
1.054057387072320395e+01 4.952498835947033440e-01 1.185288550035048516e-01
1.069169901597140893e+01 4.691310592076318176e-01 1.448820602717639794e-01
1.092787422181373458e+01 4.304993879743063689e-01 1.959395625153717013e-01
1.097248382982034975e+01 4.233248610429376502e-01 2.159618382603998299e-01
1.087627760060819959e+01 4.423568977219963783e-01 1.967360929392709679e-01
1.093946564027263335e+01 4.296095985986275734e-01 2.077742326378890780e-01
1.062250841470713780e+01 4.847028328097361949e-01 1.448586555040183299e-01
1.087669044822094477e+01 4.415907949909449459e-01 1.966197734827312971e-01
1.068886415109414045e+01 4.712790238011981270e-01 1.482382866287248468e-01
1.062077255121359443e+01 4.838522838602776766e-01 1.352306738265220964e-01
1.067474400113772859e+01 4.724860586272276453e-01 1.379458389614800495e-01
1.069533079372350315e+01 4.703085596642849753e-01 1.576851457422967506e-01
1.072039659379171717e+01 4.632310261329590229e-01 1.498733619774381687e-01
1.097236310945865689e+01 4.231360141181758627e-01 2.127132296663427624e-01
1.066784084034625479e+01 4.753822091221008850e-01 1.533830182109725548e-01
1.061785326746891123e+01 4.809740158060012427e-01 1.201246943862996908e-01
1.045693609138669444e+01 5.125718829040486479e-01 1.052225137724729365e-01
1.093847625916260391e+01 4.308119249035514686e-01 2.074248876766402461e-01
1.083087038561120075e+01 4.450968573719225607e-01 1.692351913314782408e-01
1.092790237068418868e+01 4.328178462978320984e-01 2.037131755738701422e-01
1.092769393135332834e+01 4.325461242690639141e-01 2.048601560238889618e-01
1.067285376982437839e+01 4.746511576541047051e-01 1.463642997363834297e-01
1.094245022852192761e+01 4.304668716653666793e-01 2.090910553685536577e-01
1.067968754177408819e+01 4.761117820358656272e-01 1.628271887653260919e-01
1.057368737263982084e+01 4.893337971205752313e-01 1.180873472668038104e-01
1.096129433939637110e+01 4.237235274774491245e-01 2.002495725158586204e-01
1.061646925161066335e+01 4.824491127992626693e-01 1.267180162367198548e-01
1.082746994859915546e+01 4.460169233365606778e-01 1.723654888099135363e-01
1.070020664485537409e+01 4.699597129473930268e-01 1.610516352866140366e-01
1.051806558817431103e+01 5.005725286910209793e-01 1.260699034727972290e-01
1.056080573430681468e+01 4.935762472675138124e-01 1.248704502237503178e-01
1.065315603001524636e+01 4.748670411176419415e-01 1.241173269062549878e-01
