weight logl t0 tau logZsun
0.000000000000000000e+00 -9.339641875000000000e+05 9.096889784665630474e-01 8.025826264003964594e-01 8.472849078859455707e-01
0.000000000000000000e+00 -9.308750000000000000e+05 8.850380676570244187e-01 9.507482101004608444e-01 9.149281935870613447e-01
0.000000000000000000e+00 -9.293728750000000000e+05 7.491247065527346649e-01 8.686908459773097224e-01 9.010308410763889775e-02
0.000000000000000000e+00 -9.293168125000000000e+05 9.412837434175517215e-01 3.544618805058143973e-01 4.559975489390071246e-01
0.000000000000000000e+00 -9.244626250000000000e+05 8.186392820025714112e-01 6.457085183670173700e-01 1.142563062576305022e-01
0.000000000000000000e+00 -9.185781875000000000e+05 8.412745907567110715e-01 9.296141518108990143e-01 3.515960289047335152e-01
0.000000000000000000e+00 -9.143562500000000000e+05 8.517842648622366841e-01 7.597040476214881322e-01 3.322397317800412919e-01
0.000000000000000000e+00 -9.128108125000000000e+05 8.411026450643640517e-01 5.811116943376004595e-01 1.385590792951506556e-01
0.000000000000000000e+00 -9.100650000000000000e+05 9.163745521574009345e-01 8.850370408215830764e-01 6.110478601529424347e-01
0.000000000000000000e+00 -9.020894375000000000e+05 9.173645814632722661e-01 8.314799001428762049e-01 6.057363072717650843e-01
0.000000000000000000e+00 -9.004960000000000000e+05 8.648860797376534126e-01 5.411578962780757562e-01 2.147665429052224573e-01
0.000000000000000000e+00 -8.982452500000000000e+05 8.960411531771472760e-01 9.039321119931725823e-01 7.024783924217224973e-01
0.000000000000000000e+00 -8.877968750000000000e+05 9.035774130947008542e-01 3.777127983021802970e-01 2.047892978211023340e-01
0.000000000000000000e+00 -8.734370000000000000e+05 9.687237664353490763e-01 1.398817245938872578e-01 4.840890198332447047e-01
0.000000000000000000e+00 -8.670070000000000000e+05 8.439126414581611391e-01 9.511198363402871836e-01 4.093781348048297630e-01
0.000000000000000000e+00 -8.483210625000000000e+05 7.851128304067735986e-01 9.756377645234067808e-01 3.016815600373380368e-01
0.000000000000000000e+00 -8.424563750000000000e+05 7.183476094157299485e-01 8.027918703252724386e-01 7.786265364779065834e-02
0.000000000000000000e+00 -8.393932500000000000e+05 9.720579686251170637e-01 1.358216093931332580e-01 8.434769737201381901e-01
0.000000000000000000e+00 -8.391042500000000000e+05 6.749069587650475821e-01 8.997520956078031151e-01 6.608097965658843442e-02
0.000000000000000000e+00 -8.303906875000000000e+05 6.557104824252349973e-01 9.389208631501178015e-01 3.432409606438724392e-02
0.000000000000000000e+00 -8.303845000000000000e+05 9.129961209526744614e-01 6.221157330793160023e-01 6.226266984473767252e-01
0.000000000000000000e+00 -8.303358125000000000e+05 9.358459014676002719e-01 2.660070734757914446e-01 3.502587268643478913e-01
0.000000000000000000e+00 -8.302530000000000000e+05 7.731692691779707971e-01 9.851405970893791775e-01 2.987964000590255242e-01
0.000000000000000000e+00 -8.238414375000000000e+05 7.356266172350945931e-01 8.118289693625939663e-01 1.408028212294454296e-01
0.000000000000000000e+00 -8.217288125000000000e+05 8.583054572674697624e-01 8.463638937500806980e-01 9.434141286799176962e-01
0.000000000000000000e+00 -8.170957500000000000e+05 6.952689043918365286e-01 9.906490025525399590e-01 1.653300528125456470e-01
0.000000000000000000e+00 -8.141198750000000000e+05 8.333288726234042709e-01 5.045886041242584330e-01 7.759813536789073041e-02
0.000000000000000000e+00 -8.089315000000000000e+05 9.388751639833275986e-01 2.506247876853817669e-01 3.692863551018081836e-01
0.000000000000000000e+00 -8.010660625000000000e+05 8.625777433807412242e-01 6.299297834226846859e-01 3.954648449595133952e-01
0.000000000000000000e+00 -8.001932500000000000e+05 8.802395234077087238e-01 8.808225231491503271e-01 6.514747127646297598e-01
0.000000000000000000e+00 -7.926718750000000000e+05 8.835094650768895441e-01 8.066261381647455986e-01 6.500181615548360492e-01
0.000000000000000000e+00 -7.862427500000000000e+05 8.130717751505585067e-01 8.574968696224833931e-01 3.890825653528233730e-01
0.000000000000000000e+00 -7.721683750000000000e+05 6.303848316836754284e-01 9.535809565115949127e-01 1.022087511161933193e-01
